Yard House"4.2"1555 Court Pl, Denver, CO 80202, USA"1.56081969116719
Punch Bowl Social Denver"4.1"65 Broadway, Denver, CO 80203, USA"1.325749913879427
The Cookery at Myrtle Hill"4.4"1020 S Gaylord St, Denver, CO 80209, USA"0.5354563487414182
Moxie Eatery"4.7"70 Broadway #150, Denver, CO 80203, USA"1.2657415383718837
The Pig & The Sprout"4.4"1900 Chestnut Pl, Denver, CO 80202, USA"2.296014565658581
The Hornet"4.4"76 Broadway, Denver, CO 80203, USA"1.2730549922501908
Griffin Tavern"4.4"5062 S Syracuse St, Denver, CO 80237, USA"5.03798978506591
Vinue Food and Wine Bar"4.4"2817 E 3rd Ave, Denver, CO 80206, USA"1.0380437245334693
Meadowlark Kitchen"4.7"2705 Larimer St, Denver, CO 80205, USA"1.4111425617082192
Steuben's"4.4"523 E 17th Ave, Denver, CO 80203, USA"1.0230983994613112
Table 6"4.6"609 Corona St, Denver, CO 80218, USA"0.5002444399107774
Hillstone"4.6"303 Josephine St, Denver, CO 80206, USA"0.7652277285668492
Tocabe, An American Indian Eatery"4.7"3536 W 44th Ave, Denver, CO 80211, USA"4.675702895121362
Next Door | Glendale"4.1"658 S Colorado Blvd, Glendale, CO 80246, USA"2.090848891976686
Kona Grill"4.2"3000 E 1st Ave #184, Denver, CO 80206, USA"1.12517483951211
Black-eyed Pea"4.1"1470 S Colorado Blvd, Denver, CO 80222, USA"2.0171757162520656
Annie's Cafe and Bar"4.4"3100 E Colfax Ave, Denver, CO 80206, USA"1.4197867525774461
Chop Shop Casual Urban Eatery Colfax"4.6"4990 E Colfax Ave, Denver, CO 80220, USA"2.799352857136025
Blackbird Public House"4"305 S Downing St, Denver, CO 80209, USA"0.33463345972259195
Freshcraft"4.4"1530 Blake St, Denver, CO 80202, USA"2.255563370156295
