Jaipur Indian Restaurant"4.3"1214 Walnut St, Boulder, CO 80302, USA"0.5594406574525961
Tiffins India Cafe"4.1"2416 Arapahoe Ave, Boulder, CO 80302, USA"0.5791689921847722
Tadka Indian Cuisine"4.8"5290 Arapahoe Ave B, Boulder, CO 80303, USA"2.8722645422286663
Roxie's Tacos"4.7"1135 Broadway, Boulder, CO 80302, USA"0.34385533555081443
Curry N Kebob"4.5"3050 28th St, Boulder, CO 80301, USA"0.9419713934519162
Gurkhas On the Hill"4.3"1310 College Ave #230, Boulder, CO 80302, USA"0.37124028021395794
Sherpa Restaurant"4.5"825 Walnut St, Boulder, CO 80302, USA"0.9277171921254425
Kathmandu Restaurant II"4.3"1964 28th St, Boulder, CO 80301, USA"0.9288270351379703
The Taj - Indian Cuisine"4.4"2630 Baseline Rd, Boulder, CO 80305, USA"0.7441915932371519
Tandoori Grill"4.5"619 S Broadway, Boulder, CO 80305, USA"1.5603713710224996
Mount Everest Cuisine"4.6"4800 Baseline Rd A-107, Boulder, CO 80303, USA"2.646809285631021
Bawarchi Biryani's"4.2"390 McCaslin Blvd, Louisville, CO 80027, USA"7.561709158274118
India Bazaar"4.3"1542 28th St, Boulder, CO 80303, USA"0.8913610811199381
Taj Mahal 3 Restaurant & Bar"4.6"1075 E South Boulder Rd #145, Louisville, CO 80027, USA"9.770942680915573
Azitra Restaurant"4.4"535 Zang St Suite C, Broomfield, CO 80021, USA"9.598058548829739
Zaika Indian Cuisine"4.3"300 Nickel St #19, Broomfield, CO 80020, USA"12.8190194999122
Yak & Yeti Bar and Restaurant"4.3"8659 Sheridan Boulevard, Westminster, CO 80003, USA"15.176209740814304
Flavor of India"4.3"516 Main St, Longmont, CO 80501, USA"11.977618374846402
Gurkhas Restaurant: Restaurants in Longmont"4.6"2347 Clover Basin Dr, Longmont, CO 80503, USA"9.915620797134778
Tibet's Restaurant & Bar"4.5"321 McCaslin Blvd A, Louisville, CO 80027, USA"7.423465599432973
