Rio Grande Mexican Restaurant"4.1"1101 Walnut St, Boulder, CO 80302, USA"0.6812912187665677
T/aco"4.4"1175 Walnut St, Boulder, CO 80302, USA"0.6264873344913356
Centro Mexican Kitchen"4.1"950 Pearl St, Boulder, CO 80302, USA"0.7970531856100033
Rincon Del Sol"4.2"6606, 2350 Arapahoe Ave, Boulder, CO 80302, United States"0.5129990902422843
Cafe Mexicali"4.4"2850 Baseline Rd, Boulder, CO 80303, USA"1.0513552204612715
Chipotle Mexican Grill"4.2"919 Pearl St, Boulder, CO 80302, USA"0.8566366494996716
QDOBA Mexican Eats"4"1625 28th St Ste 401, Boulder, CO 80301, USA"0.8249921597875065
Wahoo's Fish Taco"4.4"2790 Pearl St, Boulder, CO 80302, USA"0.8506197268429044
Lonchera Los Paisas"4.8"1750 15th St, Boulder, CO 80302, USA"0.25045459879890436
Pica's Boulder Mexican Taqueria"4.4"5360 Arapahoe Ave f, Boulder, CO 80303, USA"3.0025689760087637
Santiago's Mexican Restaurant"3.9"1325 Broadway #105, Boulder, CO 80302, USA"0.42150871679462215
Santo"4.6"1265 Alpine Ave, Boulder, CO 80304, USA"0.7337370243075538
Illegal Pete's Pearl St. Mall"4.5"1447 Pearl St, Boulder, CO 80302, USA"0.37343995753085957
Verde Boulder"4.4"3070 28th St, Boulder, CO 80301, USA"0.9676174947934684
McDevitt Taco Supply"4.8"4800 Baseline Rd Ste C 110, Boulder, CO 80303, USA"2.594496756229453
Chipotle Mexican Grill"4.1"1650 28th St UNIT 1224, Boulder, CO 80301, USA"0.9034243881200841
La Choza"4.3"4457 Broadway, Boulder, CO 80301, USA"1.0957439814721555
Illegal Pete's on The Hill"4.5"1124 13th St, Boulder, CO 80302, USA"0.37159452833132606
La Choza"4.6"Unnamed Road, Boulder, CO 80301, United States"1.8711063392312635
Efrain's II Mexican Restaurant"4.5"1630 63rd St # 10, Boulder, CO 80301, USA"4.475247658737519
