Rio Grande Mexican Restaurant"4.1"1101 Walnut St, Boulder, CO 80302, USA"0.8187507401179008
T/aco"4.4"1175 Walnut St, Boulder, CO 80302, USA"0.7636886999984616
Rincon Del Sol"4.2"6606, 2350 Arapahoe Ave, Boulder, CO 80302, United States"0.3793724551605325
Centro Mexican Kitchen"4.1"950 Pearl St, Boulder, CO 80302, USA"0.9341374289528379
Cafe Mexicali"4.4"2850 Baseline Rd, Boulder, CO 80303, USA"0.9341005663467055
Santo"4.6"1265 Alpine Ave, Boulder, CO 80304, USA"0.8577783048421744
Wahoo's Fish Taco"4.4"2790 Pearl St, Boulder, CO 80302, USA"0.7076358771094688
QDOBA Mexican Eats"4"1625 28th St Ste 401, Boulder, CO 80301, USA"0.6880811671832401
Chipotle Mexican Grill"4.2"919 Pearl St, Boulder, CO 80302, USA"0.993645170795799
Santiago's Mexican Restaurant"3.9"1325 Broadway #105, Boulder, CO 80302, USA"0.5668432399297192
Pica's Boulder Mexican Taqueria"4.4"5360 Arapahoe Ave f, Boulder, CO 80303, USA"2.8652214149350943
Tahona Tequila Bistro"4.3"1035 Pearl St, Boulder, CO 80302, USA"0.8978230285832218
Verde Boulder"4.4"3070 28th St, Boulder, CO 80301, USA"0.8217340429366581
Lonchera Los Paisas"4.8"1750 15th St, Boulder, CO 80302, USA"0.3882852591629222
Los Dos Bros Food Truck"4.7"1334, 5501 Arapahoe Ave, Boulder, CO 80303, United States"3.0286302019612448
Illegal Pete's Pearl St. Mall"4.5"1447 Pearl St, Boulder, CO 80302, USA"0.5055029441734804
Chipotle Mexican Grill"4.1"1650 28th St UNIT 1224, Boulder, CO 80301, USA"0.7653375018411261
La Choza"4.3"4457 Broadway, Boulder, CO 80301, USA"1.1728831503858885
La Choza"4.6"Unnamed Road, Boulder, CO 80301, United States"1.7291879870600255
Efrain's II Mexican Restaurant"4.5"1630 63rd St # 10, Boulder, CO 80301, USA"4.33733812090277
