Oak,American,Boulder,4.6,2.0
The West End Tavern,American,Boulder,4.4,1.8
The Roadhouse Boulder Depot,American,Boulder,4.2,2.9
The Kitchen,American,Boulder,4.5,1.8
The Boulder Cork,American,Boulder,4.5,3.6
Tsing Tao,Chinese,Boulder,4.0,2.5
Haoway Chinese Cafe,Chinese,Boulder,4.0,2.5
Pei Wei,Chinese,Boulder,3.6,2.1
Golden Sun Chinese Restaurant,Chinese,Boulder,3.3,2.7
Taj Mahal 3 Restaurant & Bar,Indian,Boulder,4.6,8.7
Mount Everest Cuisine,Indian,Boulder,4.6,2.8
Tadka Indian Cuisine,Indian,Boulder,4.8,3.5
The Taj,Indian, Boulder,4.4,1.2
Gondolier Italian Eatery,Italian,Boulder,4.2,2.8
Carelli's,Italian,Boulder,4.3,1.7
Pasta Jay's,Italian,Boulder,4.3,1.9
Il Pastaio Ristorante,Italian,Boulder,4.6,2.3
Sforno Trattoria Romana,Italian,Boulder,3.9,1.6
Efrain's II Mexican Restaurant,Mexican,Boulder,4.5,4.7
Pica's Boulder Mexican Taqueria,Mexican,Boulder,4.4,3.6
Cafe Mexicali,Mexican,Boulder,4.4,1.4
Rio Grande Mexican Restaurant,Mexican,Boulder,4.1,1.6
Cosmo's Pizza,Pizza,Boulder,4.3,1.1
Pizza Colore,Pizza,Boulder,4.2,2.1
The Sink,American,Boulder,4.4,1.1
Pizzeria Locale,Pizza,Boulder,4.5,2.0
Boss Lady Pizza,Pizza,Boulder,4.3,0.9
Half Fast Subs On The Hill,Sandwiches,Boulder,4.5,1.2
Cheba Hut Toasted Subs,Sandwiches,Boulder,4.4,0.8
Jimmy John's,Sandwiches,Boulder,3.2,0.9
Illegal Pete's on The Hill,Mexican,Boulder,4.5,0.9
