Rio Grande Mexican Restaurant"4.1"1101 Walnut St, Boulder, CO 80302, USA"0.8187507401179008
T/aco"4.4"1175 Walnut St, Boulder, CO 80302, USA"0.7636886999984616
Rincon Del Sol"4.2"6606, 2350 Arapahoe Ave, Boulder, CO 80302, United States"0.3793724551605325
Centro Mexican Kitchen"4.1"950 Pearl St, Boulder, CO 80302, USA"0.9341374289528379
Santo"4.6"1265 Alpine Ave, Boulder, CO 80304, USA"0.8577783048421744
Wahoo's Fish Taco"4.4"2790 Pearl St, Boulder, CO 80302, USA"0.7076358771094688
QDOBA Mexican Eats"4"1625 28th St Ste 401, Boulder, CO 80301, USA"0.6880811671832401
Chipotle Mexican Grill"4.2"919 Pearl St, Boulder, CO 80302, USA"0.993645170795799
Pica's Boulder Mexican Taqueria"4.4"5360 Arapahoe Ave f, Boulder, CO 80303, USA"2.8652214149350943
Tahona Tequila Bistro"4.3"1035 Pearl St, Boulder, CO 80302, USA"0.8978230285832218
Illegal Pete's Pearl St. Mall"4.5"1447 Pearl St, Boulder, CO 80302, USA"0.5055029441734804
Chipotle Mexican Grill"4.1"1650 28th St UNIT 1224, Boulder, CO 80301, USA"0.7653375018411261
Illegal Pete's on The Hill"4.5"1124 13th St, Boulder, CO 80302, USA"0.517506762432201
3 Margaritas Boulder"3.9"3390 28th St, Boulder, CO 80301, USA"0.8325482539562998
Taco Bell Cantina"3.3"1155 13th St, Boulder, CO 80301, USA"0.5494952931005571
Red Agave Tequileria Cocina Calaca Bar"3.9"2845 28th St, Boulder, CO 80301, USA"0.7013194747041371
Coma Mexican Grill"0"4800 Baseline Rd Unit E-105, Boulder, CO 80303, USA"2.330721216524118
Pica's Taqueria"4.4"901 Front St, Louisville, CO 80027, USA"9.557751349962054
Cafe Mexicali"4.4"2850 Baseline Rd, Boulder, CO 80303, USA"0.9341005663467055
QDOBA Mexican Eats"4.2"459 McCaslin Blvd Suite 1, Louisville, CO 80027, USA"7.312106707240151
